material,condition,contamination,unit,quantity,broken_percentage,condition_score,contamination_score,has_cracks,structural_compromised,has_rust,has_rot,is_moist,has_hazardous_coating,is_separable,recommended_pathway
Soil,Severely Damaged,Moderate,tonnes,6965.4,74.8,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Damaged,Moderate,units,2823.4,49.2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Wood,Damaged,None,units,1629.9,27.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,REPAIR
Concrete,Excellent,None,cubic metres,4166.1,5.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Excellent,None,tonnes,2958.1,6.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Excellent,None,units,6414.7,3.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Damaged,None,kg,7663.1,76.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Mixed Construction Waste,Severely Damaged,Hazardous,tonnes,5663.4,80.4,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Mixed Construction Waste,Severely Damaged,Low,kg,2451.3,36.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECOVER
Wood,Damaged,Low,tonnes,401.2,53.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Wood,Good,Low,cubic metres,7560.8,16.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Good,None,cubic metres,3036.4,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Damaged,None,units,3643.2,19.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Damaged,Low,kg,232.9,64.3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,RECOVER
Plastic,Moderate,Moderate,cubic metres,4963.8,53.1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Moderate,Low,tonnes,3315.2,52.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Damaged,Low,tonnes,441.9,6.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Concrete,Moderate,Low,units,2233.7,30.2,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Concrete,Excellent,None,kg,2123.2,5.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Excellent,None,cubic metres,2232.1,7.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Soil,Damaged,None,units,3791.9,26.4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Asphalt,Moderate,Moderate,cubic metres,7426.3,33.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Mixed Construction Waste,Moderate,Moderate,cubic metres,200.0,51.6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECOVER
Ceramic / Tiles,Good,None,tonnes,6686.8,4.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Gypsum,Damaged,Low,cubic metres,3856.6,27.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Gypsum,Damaged,Hazardous,kg,3599.6,11.7,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Moderate,None,kg,1058.2,13.6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Excellent,None,tonnes,5277.9,0.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Gypsum,Damaged,Moderate,units,6465.6,74.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Gypsum,Severely Damaged,Low,units,6378.0,32.2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Wood,Damaged,None,kg,3771.1,5.4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,REPAIR
Brick,Good,None,units,4912.8,6.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Good,None,tonnes,7725.7,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Severely Damaged,High,units,4106.2,25.2,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Mixed Construction Waste,Good,High,units,6714.7,14.1,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Mixed Construction Waste,Severely Damaged,High,kg,6696.0,58.5,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Excellent,None,units,5380.4,3.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Mixed Construction Waste,Damaged,Moderate,units,454.8,39.1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Steel,Severely Damaged,Hazardous,kg,5707.9,88.5,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Good,None,tonnes,2672.4,2.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Severely Damaged,Hazardous,cubic metres,6739.4,33.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Steel,Excellent,None,cubic metres,3565.6,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Brick,Damaged,Hazardous,tonnes,7410.1,5.7,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Wood,Moderate,None,tonnes,2783.9,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Damaged,Hazardous,kg,3806.2,47.5,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Good,None,kg,533.6,3.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Soil,Damaged,Moderate,units,7696.9,77.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Gypsum,Damaged,Moderate,tonnes,7694.5,70.4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Excellent,None,kg,1164.1,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Excellent,None,units,1229.2,1.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Moderate,Low,kg,1971.9,65.8,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Concrete,Damaged,None,units,4923.7,25.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Good,None,tonnes,4100.7,2.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Soil,Severely Damaged,None,cubic metres,5513.4,67.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Plastic,Severely Damaged,Low,units,3939.0,57.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Good,High,tonnes,2386.0,71.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Excellent,None,units,1986.4,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Gypsum,Damaged,Moderate,tonnes,1407.7,58.9,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Good,None,cubic metres,2819.0,6.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Excellent,Hazardous,units,3602.2,2.2,4.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Good,None,units,689.6,16.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Damaged,Low,kg,5305.8,11.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Damaged,Hazardous,units,6936.5,72.3,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Damaged,Low,kg,5089.7,30.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Moderate,None,cubic metres,6890.2,20.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Damaged,None,tonnes,5189.2,50.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Moderate,Low,kg,880.0,60.6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Good,Low,tonnes,7578.0,26.8,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Good,None,tonnes,91.2,0.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Moderate,None,units,1069.3,10.9,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Excellent,None,cubic metres,4976.7,1.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Excellent,None,units,4640.9,6.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Excellent,None,cubic metres,3027.0,6.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Gypsum,Moderate,Low,cubic metres,558.3,55.6,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Steel,Severely Damaged,Hazardous,units,5652.3,29.8,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Damaged,Low,units,3914.9,17.4,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Severely Damaged,Hazardous,tonnes,3164.5,86.4,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Severely Damaged,Moderate,kg,2908.5,30.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Excellent,None,units,4363.8,3.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Mixed Construction Waste,Damaged,Moderate,units,2462.8,55.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Soil,Damaged,None,tonnes,3472.8,77.4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Plastic,Moderate,Hazardous,tonnes,3289.3,42.9,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Severely Damaged,Hazardous,kg,2881.5,57.9,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Plastic,Severely Damaged,Moderate,cubic metres,3412.8,33.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Asphalt,Severely Damaged,Moderate,cubic metres,4208.8,50.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Good,None,tonnes,2700.2,2.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Damaged,Low,tonnes,238.8,24.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Moderate,Low,kg,2540.7,20.5,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,RECOVER
Mixed Construction Waste,Damaged,Low,units,1704.4,74.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECOVER
Brick,Good,None,kg,2696.3,21.7,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Soil,Damaged,Hazardous,cubic metres,6993.9,9.4,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Severely Damaged,Low,cubic metres,62.5,63.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Excellent,High,tonnes,6669.6,43.2,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Gypsum,Damaged,Moderate,kg,7660.5,60.5,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Moderate,Low,units,6320.8,16.8,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Damaged,Low,kg,7373.8,64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Concrete,Good,Hazardous,cubic metres,3275.1,7.1,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Plastic,Moderate,Hazardous,units,1511.0,80.9,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Damaged,High,tonnes,2852.5,62.4,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Good,None,cubic metres,2870.7,22.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Gypsum,Severely Damaged,Moderate,kg,5486.4,31.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Steel,Excellent,None,units,6775.2,2.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Severely Damaged,Hazardous,cubic metres,1316.5,34.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Plastic,Moderate,Moderate,tonnes,1973.3,28.6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Damaged,Low,units,3951.9,19.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Gypsum,Damaged,Moderate,units,6178.2,36.8,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Ceramic / Tiles,Excellent,None,units,534.6,3.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Brick,Good,None,cubic metres,4420.3,4.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Mixed Construction Waste,Damaged,High,kg,971.7,42.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Moderate,None,kg,6594.4,13.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Damaged,Low,cubic metres,845.5,14.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Concrete,Moderate,Low,units,4775.0,70.6,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Excellent,None,units,2841.6,7.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Moderate,None,cubic metres,3686.2,32.8,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Good,Hazardous,units,90.2,82.8,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Severely Damaged,Hazardous,kg,3723.9,57.5,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Damaged,Moderate,cubic metres,706.8,65.6,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Moderate,Low,cubic metres,7109.4,18.7,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Gypsum,Moderate,Low,cubic metres,1094.8,66.3,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Moderate,None,units,3381.6,7.1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Soil,Damaged,Low,cubic metres,5664.6,52.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Soil,Severely Damaged,None,kg,978.0,39.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Good,None,units,3825.4,5.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Damaged,None,units,209.6,9.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Soil,Damaged,Hazardous,cubic metres,5120.6,74.9,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Moderate,Low,units,774.5,31.8,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Severely Damaged,Hazardous,tonnes,4092.7,6.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Gypsum,Moderate,Low,kg,340.1,76.9,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Soil,Moderate,Moderate,tonnes,2413.9,64.7,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Glass,Moderate,None,cubic metres,723.0,70.6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Severely Damaged,High,tonnes,227.1,80.7,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Asphalt,Severely Damaged,Low,kg,2752.7,47.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Concrete,Moderate,Low,units,440.2,20.8,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Good,None,units,1642.1,6.9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Gypsum,Moderate,Moderate,cubic metres,65.5,62.3,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Concrete,Damaged,Low,units,4462.9,8.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Good,None,units,2350.2,7.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Excellent,None,units,3863.5,7.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Soil,Moderate,Moderate,units,3383.5,75.7,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Mixed Construction Waste,Damaged,Moderate,tonnes,7676.5,64.3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Wood,Severely Damaged,Low,cubic metres,3128.8,65.9,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,RECOVER
Mixed Construction Waste,Damaged,Moderate,cubic metres,3735.0,45.3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Glass,Severely Damaged,Moderate,tonnes,886.6,56.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Gypsum,Severely Damaged,Moderate,units,5896.8,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Glass,Good,None,kg,7163.6,4.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Brick,Severely Damaged,Low,units,2186.5,43.6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Excellent,None,tonnes,3790.5,6.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Good,None,kg,648.2,4.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Severely Damaged,None,kg,5134.9,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Moderate,Low,tonnes,4371.8,21.8,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Excellent,None,tonnes,6420.5,7.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Plastic,Moderate,Low,cubic metres,537.1,27.3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Soil,Severely Damaged,Hazardous,units,6401.5,38.3,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Steel,Excellent,None,units,1045.1,5.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Severely Damaged,Moderate,tonnes,6170.9,55.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Gypsum,Severely Damaged,Moderate,cubic metres,3029.4,61.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Damaged,Low,tonnes,4208.6,33.2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Good,None,tonnes,7218.2,20.9,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Gypsum,Moderate,Moderate,kg,549.1,35.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Ceramic / Tiles,Good,High,units,3247.4,0.6,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Plastic,Moderate,Low,kg,585.7,53.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Soil,Moderate,None,kg,7928.0,37.8,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Wood,Damaged,Low,units,7189.3,37.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,RECOVER
Glass,Good,None,kg,4612.7,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Moderate,None,cubic metres,4566.0,5.6,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Excellent,None,tonnes,3095.4,3.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Moderate,None,tonnes,3593.9,16.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Moderate,Moderate,tonnes,7165.7,65.7,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Severely Damaged,Moderate,kg,1407.4,72.6,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Soil,Damaged,Low,units,3398.8,35.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Moderate,Low,units,996.3,63.3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Asphalt,Moderate,Low,cubic metres,4088.0,48.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Concrete,Severely Damaged,High,units,5576.6,51.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Good,None,cubic metres,1185.8,7.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Moderate,Low,cubic metres,6904.2,57.5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Glass,Moderate,None,units,7757.9,62.4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Good,None,tonnes,2142.7,30.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Gypsum,Moderate,Moderate,cubic metres,6896.1,36.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Steel,Excellent,None,tonnes,2034.9,5.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Excellent,None,cubic metres,4469.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Soil,Damaged,None,kg,5128.2,30.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Good,Low,tonnes,192.4,33.5,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Concrete,Damaged,Low,kg,142.6,9.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Mixed Construction Waste,Damaged,Moderate,kg,1211.6,31.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECOVER
Brick,Damaged,Moderate,tonnes,4238.4,41.6,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Asphalt,Damaged,Low,tonnes,4741.3,39.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Glass,Excellent,None,kg,2357.2,1.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Damaged,Moderate,units,7143.6,65.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Mixed Construction Waste,Moderate,Low,units,5517.4,59.8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECOVER
Glass,Severely Damaged,Low,units,7963.1,76.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Concrete,Damaged,High,tonnes,5752.4,35.2,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Damaged,None,tonnes,6687.8,13.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Damaged,Low,units,1824.7,28.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Damaged,Low,tonnes,6362.7,40.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
